Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS,,,,,Abbott
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Reliance Industries - AJIO,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Retail / E-commerce,"Buying & Merchandising, Operations, Planning, Sales Planning & Pricing, Strategy",Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Sodexo,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Tata Capital,Facilities Management,"Enterprise Sales, Project Management Intern",Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Tata Capital,Financial Services,Data Science Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Taurus Mutual Funds,Financial Services,Data Science Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Taurus Mutual Funds,Financial Services,Data Analyst Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Financial Services,Data Analyst Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Vodafone-Idea,Telecommunications,Marketing Analytics,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Accenture AIOC,Telecommunications,Marketing Analytics,Technical,Medium, What is coefficient of determination?,Coefficient of Determination (R²): Shows how well independent variables explain variation in dependent variable; value ranges 0 to 1 (higher = better fit).,Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,Medium, What is F test?,Checks if the regression model is statistically significant; if at least one predictor meaningfully explains the dependent variable.,Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, What is Monte Carlo simulation?,Uses random sampling and repeated computations to estimate probabilities or outcomes of uncertain events.,Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, What is precision and recall?,"Precision = Correct Positives / Total Predicted Positives; Recall = Correct Positives / Total Actual Positives. Precision for accuracy, recall for completeness.",Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, What are window functions?,"SQL functions that perform calculations across a set of related table rows (running totals, ranks, averages, etc.)",Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, What is imbalanced data?,"Classes or labels not equally represented (e.g., 95% Negative, 5% Positive).",Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, Why does it matter?,High accuracy hides poor detection of minority (important) class — model could be useless for rare but critical targets.,Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, How to tackle imbalanced data?,"Oversampling, under sampling, and SMOTE.",Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, How many joins are there in SQL and what is inner join?,"Inner join, left join, right join, cross join, outer join. Inner join: only matching rows in both tables are returned.",Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, What is the use of SUMIFS?,Adds numbers only for rows meeting specific conditions.,Yes,,,,,
Accenture AIOC,Marketing Analytics,Data Science Sr Analyst,Technical,, Difference between ARIMA and SARIMA?,"ARIMA: time series forecasting for non-seasonal data; SARIMA: handles seasonality — fixed repeating patterns (monthly, quarterly, yearly, etc.).",Yes,,,,,
Accenture Strategy,Marketing Analytics,Data Science Sr Analyst,Technical Assessment,, What is supply chain,"End to end process from procurement, production, inventory to customer support",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Assessment Round,," CAT level aptitude questions (pattern matching, DILR, quantitative maths)","Answers based on graph (DILR), finding patterns, and quantitative maths",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Assessment Round,," SQL, Python, PySpark, Hadoop, NLP concepts (GAN, backpropagation, code snippets)","Selected correct code outputs, concepts with correct definitions, properties, Spark and Hadoop commands",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,," Explain your python projects, libraries and functions used","Explained project on sentiment analysis in detail, libraries like sklearn, numpy, pandas, seaborn, etc.",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,, Scenario: Merge customer data from 5 CSVs with/without common keys and visualize using Excel,Excel Power Query's Transform Data used to merge; writes queries for no common keys. Final CSV used for aggregation/plots.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,," What did you work on in PwC, what were your responsibilities?","Worked as backend engineer in an internal project (Spring Boot, microservices, Java); described day-to-day responsibilities",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,," How did you work in a cross-functional team, work culture, task assignment?","Worked in a 108-member cross-functional team, 20-30 per subteam. Agile framework, ADO for product roadmaps, scrum, task mgt.",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 2,," Explain sentiment analysis project, aims, methodology","Explained project in depth; described metrics (accuracy, recall, confusion matrix), key techniques (BoW, countvectorizer, TF-IDF, RandomForestClassifier), choice of models, training-testing split",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 2,," R project on Divvy Bike Sharing of Chicago, forecasting techniques used and why","Described TSA project: seasonality, trend analysis, SARIMA vs ARIMA, ACF, PACF, ADF tests, R libraries and visualizations used in technique selection",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 2,," Case: Ola Electric ad campaign has high positive engagement, but no ROI. What next, strategically?","Advised customer segmentation, market and competitor analysis, targeted campaigns by user group, Gen Z phrasing, location/user analysis, sustainability messaging, and campaign modifications for performance",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round,, Introduction,Gave introduction covering background and skills.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round,, Questions on projects,Explained complete data science pipeline.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round,, Question on hypothesis testing and p value,Explained with examples.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview,, Generative AI and RAG application building,Mentioned RAG projects done.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview,, Agentic AI,Gave definition with example use case.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview,, Data Science Pipeline,Explained credit risk modelling project pipeline.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview,, Temperature meaning in LLMs,Controls randomness of LLM's response.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview,, Difference between chunks and embedding in RAG context,Explained with example.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,, Explain your role in your work experience?,"Started as a writer/editor, helped build the team, collaborated cross-functionally, worked with digital marketing, focused on delivering strategic results.",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,, Tell me about assortment analysis in your summer internship experience?,"Assortment is derived from sales data gaps, filled in next cycles, focusing on specific product bricks and categories.",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,, Explain unsupervised learning?,ML algorithms use unlabelled data. Clustering algorithms like K-Means and Hierarchical.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 2,, Explain GenAI through projects.,Focus on project methodologies in full detail.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 2,, How do you change rows into columns in python?,By using the pivot function.,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Assessment Round,,Candidate was asked to introduce themselves. ,"Introduction should have a quick walkthrough of the academic journey along with extra curriculars and notable achievements if any. Mention your hobbies or interests[brief]. 
Crisp and completed in 60 seconds. Keep on refining the introduction until you can carry it confidently. ",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,,"Candidate was asked about their internship experience, projects worked on and business impact if any","Internship experience varies person to person. Mention highlights of the project worked on and talk confidently about the learnings and tools utilized.
Candidate should understand the workings of the business unit or department and how the project/work was tied ",Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,, Tell me about your internship (SI)? What kind of projects did you do and their business impacts?,Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,,"Candidate was asked to explain the projects in-depth. Tools used, techniques explored. Insights made and the problems encountered during implementation.",Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,, In your ML projects what models did you use and how did you use them? [Resume & Project Specific],Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,,"Understanding limitations of specific models and use-case. Pro's and Con's of a decision.
Candidate reported : Why use random forest? Issues with this model and how to overcome them? What if you change a parameter (name) to infinity? Effect on model? ",Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,,"[Data Cleaning and ETL Basics]
How to deal with imbalance in the dataset? ",Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Technical Interview Round 1,," Model Evaluation and Re-training Concepts. 
Candidate was asked about the kind of evaluation matrix used for random forest and K-means clustering algorithm",Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview Round 2,,Why MBA? Why MBA in Business Analytics,Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview Round 2,, Non-tech background: why choose tech side instead of general MBA? Any undergrad event that led to this?,Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview Round 2,,Candidate was asked about biggest strength and weakness? How are they addressing them?,Answered,Yes,,,,,
Accenture Strategy,Consulting & Data Science,Decision Science Consulting Intern,Final Interview Round 2,,Are you comfortable working daily with technical tools and coding? Or will you feel trapped if majority of the work is technical and code intensive,Answered,Yes,,,,,
MiQ,Consulting & Data Science,Decision Science Consulting Intern,Technical Assessment,, Python 2 Basic DSA Questions on BFS/DFS,Answered accordingly,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, SQL MCQ Questions,Answered accordingly,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, Basic Statistics & Aptitude Questions,Answered accordingly,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Walk me through your work ex,Explained Work ex in detail,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Walk me through your projects,Explained projects in detail,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Ola's Business is stagnating. How would you revive it.,Did data analysis and general discussion,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Walk me through your projects,Explained projects in detail,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,," Here is this product (shows image), how would you advertise it?",Applied S.T.P Framework to answer,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,," Here is this product (shows other image), how would you advertise?",Applied S.T.P Framework,,,,,,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Explain any Conflict of Interest Situation,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Who is your source of Inspiration?,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Any role where you had to take a leadership position,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, What made you interested in applying for MIQ,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Python: Write code,Wrote code,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Python: Write code,Wrote code,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Python: Questions based on Dictionary,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, SQL: Questions based on Window Functions,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Statistics: Find out the variance,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Statistics: Multicollinearity,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Logical Reasoning questions,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Test,, Find the odd man out,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Test,, Complete the sequence,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Test,, Describe the images,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Test,, Describe the video,Answered,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Question about my day and education,Told,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,," Questions about the test, basically more about stats",Told,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,," SQL Query writeups (one basic, 2 window based)",Difficulty with one window function ques,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,,Guesstimate: iPhone sales in China,I reached to the conclusion of 1M,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,,Python Questions like difference between 5/2 and 5//2,"Struggled; no deep Python background, just analytics",,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,"Write SQL queries (joins, filtering, grouping, aggregation)","Explained and demonstrated various joins, WHERE, GROUP BY, etc.",,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, LinkedIn Club funnel conversion rate improvement method,"Outlined root-cause analysis, RICE framework usage, implemented changes",,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,(Python): Write code to reverse a string and to find the most frequent word in a given sentence.,For string reversal: slicing method (string[::-1]); for frequent word: Python�s collections.Counter class,,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,," (Statistics): Explain difference between mean, median, mode, define standard deviation, effect of shifting dataset","Mean is average, median is middle value, mode is most frequent; standard deviation measures spread, shifting data affects mean, not variance or SD",,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,(Analytical Thinking): Suppose I want to launch a new feature. How would you approach it?,"Define objective/success, research user insights, prioritize (RICE), MVP design, and plan A/B testing",,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, (Guesstimate): Estimate t-shirts sold on Amazon in Bangalore,"Segmented by population, online shoppers, Amazon share, category, frequency; arrived at ballpark estimate",,,,,,
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,," (SQL): Write queries (joins, LEAD/LAG, cumulative sum)","Explained different joins, used window functions, demonstrated cumulative SUM()",,,,,,
