Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
MiQ,Marketing Analytics,Senior Analyst,Interview Round 2,, Favorite subject and why?,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, Asked for Introduction,"I gave my introduction, covering my education, internship experience, club activities, and hobbies.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,," Logical Reasoning: 11 balls, one heavier, minimum weighings to guarantee finding it?","After some clarifying questions and discussion, I concluded that the answer is 3.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,," Swiggy dataset with timestamp, location, restaurant, cancel status, revenue, etc. Revenue is declining; suggest two strategies to increase revenue.","Suggested K-means clustering to identify declining localities and offer targeted incentives (coupons). Proposed logistic regression to predict cancellations, address high-risk customers, and reduce churn to improve revenue.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, How would you handle categorical variables using NumPy in Python?,Explained encoding categorical variables into numerical values using pd.get_dummies in Pandas.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, How does K-means clustering work & how do you decide the number of clusters?,K-means forms centroids; related values are clustered. Number of clusters decided by the elbow curve.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, What are the values on x & y axis of elbow curve?,Was unable to answer and stated I couldn�t recall at that moment.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Design KPIs as director business intelligence of Flipkart,"Segregated KPIs as customer centric, financial level, growth aspect and operational level and expanded on them",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Explain the crypto project based on time series modelling.,"Prepared well, knew mostly about it and explained it well",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Why not SARIMA or Autoregression,Because I was generating short term trading signals so seasonality will not play any role,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Accuracy and confusion matrix for the project,"Minimized drawdown; in finance, even with 60% directional accuracy you can beat the market if you can minimize the loss",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Walk me through the financial wellness app you are building,"Showed prototype, received feedback, good 10 minutes discussion",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, A question sql subquery,"Standard subquery question wrote on the spot, also explained execution order of SQL functions",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Implement joins on A-(A intersection B),Fumbled in implementation a bit but explained using Venn diagram and told approach,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Logical error vs syntax error,Defined both with examples,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Question on my internship,"Explained in detail, answered cross questions",
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Case study on declining Stanley cups,"Broke down problem by parameters, provided solutions (marketing class knowledge handy)",
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, How would you target and segment specific audience,Spoke about Google Ads analytics for identifying target customers/segments,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, How will you identify apt communication channels,"Based on segments; figured out proper channels, mainly Instagram for me",
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, How to identify right Insta influencers,Used lifestyle influencer category as apt for the campaign,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Time series project,Well prepared,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,," Differencing, log transformation, box-cox","Explained from time series class, significance of each",
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, No code tools,"Mentioned Lovable, Bolt, likes Gen AI so did not face difficulty",
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Best coding tool for fewest errors,"Named Claude, compared with others",
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, LLMs quality improvements,Discussed rise in creative benchmarks,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, LLM vs SLM,"Explained SLMs are efficient, can help agentic AI further",
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Gen AI in marketing analytics,Related AI use cases with analytics,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Rate yourself in python,Rated 3.5 out of 5,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Are you open to learn pyspark,"Mentioned big data elective and coverage of tools like Pyspark, Amazon S3",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Why do you want to join MiQ,"Standard HR answer, personalized with intern experience and real scenarios",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Time when you showed leadership,"Standard HR answer, personalized with intern experience and real scenarios",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Time when you took initiative,"Standard HR answer, personalized with intern experience and real scenarios",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Where are you from,"Standard HR answer, personalized",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Work timings of my internship,"Standard HR answer, personalized",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, As a senior analyst how would you resolve conflict,"Standard HR answer, personalized",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, How would you handle impossible deadline,"Standard HR answer, personalized",
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Basic questions in resume that interviewer didn�t understand or was curious about,"Answered it, about internship and projects.",
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,," 2 tables given (customers, orders): SQL query to find top 2 cities by amount",Wrote the code,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Python code to reverse a string,Wrote the code,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Difference between 5/2 and 5//2,5/2=2.5 (decimal value); 5//2=2 (integer division),
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,," Analytical solutions for why the company is losing customers (e.g., RIL)","More returns (damaged/quality issue), promised ship date not met, app issue (product shipped but not visible)",
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,," Short on time: deliver project, what critical features to put in product (e.g., Zomato)","Show customer where food is, keep only one payment mode, limit ordering area",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, Python,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,SQL,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,Stats,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,LRDI,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,,SQL window Functions,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,,SQL query order,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,,Subqueries,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Python Syntax,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,,Resume Projects,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Stats and Hypothesis testing in Power Bi,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,,"Data Manipulation, Handling and Cleaning",Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Time Series,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Scenario based question,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, 4 MCQ questions on Python followed by a descriptive coding ques on Python,Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, 4 MCQ questions on SQL followed by a descriptive coding ques on SQL,Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,," What is mean, median, mode?",Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, What is standard deviation?,Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, What is variance?,Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,," 2 logical reasoning ques on STD (speed, distance, time)",Solved them,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, Can you walk me through your resume quickly?,"Introduced myself, mentioned past work ex, internships, and projects",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, Why did you switch from Marine Engineering to Business Analytics?,Gave the prepared answer,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, Explain your fav project which you did in MBA?,"V-fast booking automation under Dean administration, use of no-code tools",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, Explain this Walmart project for me,"Explained project, tools/libraries used, insights from analysis",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, What would you rate yourself in Python and SQL?,7,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,," Table with date and sales, write SQL code for sales every 6th occurrence",Wrote on paper as best as possible,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,," Arrange SQL functions (select, join, limit, etc.) in order of execution",Wrote them accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, Calculate total sales of protein powders in Pilani,Guesstimate; used bottom-up approach,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, Diff between list and tuple?,Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, Which takes less memory�list or tuple?,Tuple (shadow memory),
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, What is shadow memory?,Could not remember at the time,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,," Python: create a class to get output ""Mercedes S-Class 2017""","Used class, def, self to write the code",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,," What does self function do, can code be more optimized without self?",Explained self; attempted more optimized code,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,," Difference between numpy, pandas",I told them clearly,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Difference between list and tuples,I answered well,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, What is OOPs and one code in OOPs,I wrote a partially right code,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Formula of cosine similarity,I gave right answer,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, List comprehension question,I solved it on paper,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, MySQL functions and differences,I answered clearly all types of functions,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Explain projects,I explained in detail,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Explain subjects,I explained clearly,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,," 5 balls, one heavier, minimum balance weighings",2,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, What is AWS architecture,Don't remember the answer,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,," Tell me about your family, hobby, UG, coming from",I answered all of these,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Tell me one thing you like/dislike about BITS,Told them,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, How to handle conflicts,"Collaboration, transparency, empathy",
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Which clause is used for filtering after aggregation?,WHERE,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, What is data cleaning used for mainly?,"Removing duplicates, missing values etc.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, Explain ANOVA in very simple terms for someone with no statistics,ANOVA is basically Analysis of Variance. Used when more than two independent groups exist and their statistical means differ.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round,, What is stationarity?,"When a time series model has constant mean, variance, and autocorrelation, then it is called a stationary time series.",
MiQ,Marketing Analytics,Senior Analyst,Technical Round,, About my resume & project mentioned,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,," About Topic modelling (LDA), concept behind it","Explained about the pipeline including count vectorization, TF-IDF (worked out on paper with example)",
MiQ,Marketing Analytics,Senior Analyst,Technical Round,," 3-4 SQL questions, asked to write code","Used groupby clauses, joins, and correlated nested queries according to each query",
MiQ,Marketing Analytics,Senior Analyst,Technical Round,, Python: Extract substring from strings,Used slicing operator,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,, Python OOPs: Print Fibonacci series using class/object,"Used class, created object, called function (object.fibonacci()), wrote logic for Fibonacci series",
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,, Questions on Resume,Answered,
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,, Guestimate: Monthly global chilli consumption (population values provided),Answered,
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,," Puzzle: 8 balls, one defective (heavier), minimum weighings to find the defective ball","Solved, got the answer as 3 (which is correct)",
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,," Situational questions (placed in situational scenarios, asked responses)",Answered,
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,, Internship experience in Aditya Birla,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Python - Dictionary MCQS,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Python coding: Find shortest path in BST with root node as 1,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Python Coding: Actual column no. of Excel column names,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, SQL questions (Window functions),Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Statistics (basics),Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Round,, Data Interpretation,Answered,
MiQ,Marketing Analytics,Senior Analyst,Psychometric Assessment,, Pattern matching,Answered,
MiQ,Marketing Analytics,Senior Analyst,Psychometric Assessment,, Cognitive and critical thinking,Answered,
MiQ,Marketing Analytics,Senior Analyst,Psychometric Assessment,, English Skills,Answered,
MiQ,Marketing Analytics,Senior Analyst,On-campus Assessment,, Python very basics,Answered,
MiQ,Marketing Analytics,Senior Analyst,On-campus Assessment,, SQL basics,Answered,
MiQ,Marketing Analytics,Senior Analyst,On-campus Assessment,, Statistics basics,Answered,
MiQ,Marketing Analytics,Senior Analyst,On-campus Assessment,, Aptitude basics,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Work-Ex explanation,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,," Python coding: Retrieval from DataFrame, first 4 letters from a column, slicing",Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,," SQL: Rolling sum of sales, weekly sum from sales data",Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Why analytics,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Project specific explanations,Answered,
Mitigata,InsurTech,Founder's Office Intern,Strategy,Hard,"Design a Go-To-Market (GTM) strategy for a new domain/product.","Target Audience -> Value Proposition -> Channels (Sales/Marketing) -> Pricing -> Launch Timeline -> Metrics (KPIs).",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"What do you understand by the responsibilities of a Founder's Office role?","Cross-functional execution, strategic initiatives, special projects, and being a force multiplier for the founders.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Highlight financial modeling or data integrity challenges.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Why are you interested in our company and this role?","Mention Moody's dominance in credit ratings and analytics software.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To bring data rigor to market research and strategy in critical industries.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Highlight adaptability and research challenges.",Yes
Raaz App,Technology,Business Analyst,Behavioral,Medium,"Tell me about yourself.","Short professional intro focusing on app dynamics and analytics.",Yes
Raaz App,Technology,Business Analyst,Behavioral,Medium,"How do you prioritize features for a mobile app?","RICE framework (Reach, Impact, Confidence, Effort) or MoSCoW method.",Yes
Sodexo,Services,Operations Intern,Behavioral,Medium,"Why Sodexo?","Focus on their Quality of Life services and global scale.",Yes
Sodexo,Services,Operations Intern,Behavioral,Medium,"Describe a situation where you had to deal with a difficult client.","Empathy, active listening, and finding a win-win solution.",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"Explain SLR (Simple Linear Regression) and Multi-collinearity.","SLR: Relation between one dependent and independent variable. Multi-collinearity: When independent variables are highly correlated, skewing results (check VIF).",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"What are the different types of SQL joins? Explain their significance.","Inner (matching), Left (all left + matching right), Right (all right + matching left), Full (all), Cross (Cartesian). crucial for combining data tables.",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"What is the difference between an NBFC and a Bank?","NBFCs cannot accept demand deposits (checks) and are not part of payment settlement system. Banks are more regulated under Banking Regulation Act.",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"Scenario: Identify the top 5 customers who have the maximum debit in a transaction dataset.","SQL: `SELECT customer_id, SUM(debit_amount) FROM transactions GROUP BY customer_id ORDER BY SUM(debit_amount) DESC LIMIT 5;`",Yes
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,"What is Interest Discount?","Reduction in interest rate offered to preferred customers or during promotions to increase loan uptake.",Yes
Taurus Mutual Funds,Finance,Equity Research Intern,Technical,Medium,"What factors do you consider before investing in a stock?","Fundamental analysis (P/E ratio, debt, management) and macroeconomic factors.",Yes
Taurus Mutual Funds,Finance,Equity Research Intern,Behavioral,Medium,"Tell me about a time you made a mistake in your analysis.","Admit the mistake, explain how you fixed it, and what you learned to prevent recurrence.",Yes
Vodafone-Idea,Telecom,Data Analyst,Behavioral,Medium,"How do you explain complex technical concepts to non-technical stakeholders?","Use analogies, avoid jargon, and focus on business impact.",Yes
Vodafone-Idea,Telecom,Data Analyst,Technical,Medium,"What is Churn Rate and why is it important in Telecom?","Churn = % of customers leaving. Critical because acquiring new customers is costlier than retaining existing ones.",Yes
